original_id,original,generation,system,sentence_type,rating_1,rating_2,rating_3,rating_1_zscore,rating_2_zscore,rating_3_zscore
37,"According to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","The eyewitness reported that the shooter became enraged, then shot a woman. He then moved to the break room where he shot more people. Lastly, he fired at least ten shots in the grocery store aisles.",GPT-3-zero-shot,Splittings,100.0,70.0,70.0,1.3618218519299852,0.0345702333337,0.3445089489032916
7,"After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.","After winning in 2019, his second term was marked by the COVID-19 pandemic and by tremendous instability, since his closest political friends, which he also endorsed, were corrupt.",Human 1 Writing,Deletions,95.0,80.0,100.0,1.010140399067996,0.6011847894372679,2.2435688792535915
47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.","They imposed a fine of $400, or $100 per count of fraud, and three years of supervised release following the prison sentence.",GPT-3-few-shot,Paraphrases,61.0,70.0,50.0,-1.38129348039353,0.0345702333337,-0.9215310046635748
50,"On November 9, Fetterman was projected as the winner of the election by media outlets.",The media projected Fetterman to win the election on November 9.,GPT-3-zero-shot,Paraphrases,58.0,90.0,98.0,-1.5923023521107234,1.167799345540836,2.116964883896905
9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","Musk announced the formation of a ""content moderation council"" composed of individuals with different perspectives. This council will decide how free speech should be handled on the platform. Until then, no major changes to content or revivals of accounts will be made.",GPT-3-zero-shot,Splittings,92.0,95.0,60.0,0.7991315273508026,1.4511066235926198,-0.2885110278801416
45,"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.","Critics praised the film's direction by Coogler, the action sequences, production and costume design, and the performances of Wright, Gurira, Huerta, and Bassett. They also approved of its emotional weight, musical score, and its tributes to Boseman. However, the runtime was criticized.",GPT-3-zero-shot,Splittings,90.0,60.0,55.0,0.658458946206007,-0.5320443227698679,-0.6050210162718582
2,"In Marriages and Infidelities, Oates explicitly alludes to novellas and short stories by earlier writers, making use of either their titles or their themes and adapting them in accordance with her artistic intentions.","In Marriages and Infidelities, Oates takes ideas from novellas and short stories written by earlier authors and creates her own versions according to her artistic goals.",GPT-3-few-shot,Paraphrases,85.0,60.0,95.0,0.3067774933440179,-0.5320443227698679,0.9843941180979914
9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.","Musk announced the formation of a ""content moderation council"" with different opinions to decide how the platform should deal with free speech. He also imposed a ""major content decision or account reinstatement"" moratorium until the council is formed.",GPT-3-few-shot,Splittings,60.0,85.0,53.0,-1.4516297709659276,0.884492067489052,-0.7316250116285449
41,"These missions will seek to reestablish a human presence on the Moon and demonstrate technologies and business approaches needed for future scientific studies, including exploration of Mars.","Missions will be launched to return people to the Moon and prove the technology and commercial practices that are necessary for additional scientific research, including exploring Mars.",GPT-3-zero-shot,Paraphrases,80.0,55.0,80.0,-0.0449039595179712,-0.8153516008216519,-0.4188848798421144
20,"Whereas earlier major protests, which were violently quelled by Iran's government, focused on election results or economic woes, the current protest, besides increased rights for women, has one main demand: the overthrow of the Islamic Republic.","Earlier major protests, which were violently quelled by Iran's government, focused on election results or economic problems. The current protest, however, has one main demand: that the Islamic Republic be removed from power.",Muss,Splittings,76.0,88.0,48.0,-0.3262491218075625,0.3861610366815272,-1.0481350000202616
13,"Drone footage released by the Islamic State showed bombs being dropped on an ammunitions facility located in Deir ez-Zor, Syria, an area of contested control between the Islamic State and the Syrian government at the time.","An Islamic State drone video showed bombs being dropped on an ammunitions facility in Deir ez-Zor, Syria. The area has been under dispute between the Islamic State and the Syrian government for a long time.",Muss,Splittings,87.0,50.0,57.0,0.4474500744888135,-1.098658878873436,-0.4784170209151716
59,"Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.","The book A Wilder Life is divided into sections based on the season. It covers self-reliance, growing and gardening, cooking, health and beauty, and wilderness. It also has photos and illustrations of the outdoors.",Human 1 Writing,Splittings,82.0,75.0,60.0,0.0957686216268244,0.317877511385484,-0.2885110278801416
35,"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.","According to anonymous sources, Sam Bankman-Fried, Gary Wang, Nishad Singh, and Alameda CEO Caroline Ellison knew that FTX had lent $10 billion of customer assets to Alameda Research.",Human 1 Writing,Deletions,88.0,90.0,75.0,0.5177863650612113,1.167799345540836,-0.8489187869043615
56,"Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.",Robinson went back to West Point in 1972 as the 3rd Regimental Tactical officer. His job was to educate and train cadets.,GPT-3-few-shot,Splittings,90.0,90.0,100.0,0.658458946206007,1.167799345540836,1.3012507484068738
19,"There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.","The mediators, as well as some observers, think that this agreement is a step towards peace, but that true peace has not yet to be fully realized.",T5-3B,Paraphrases,70.0,50.0,80.0,-0.7482668652419494,-1.098658878873436,-0.4188848798421144
